gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
1,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.15,0.161616162,0.020408163,0.193877551,1,1,1,M
1,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.2,0.202020202,0.030612245,0.244897959,1,1,1,M
1,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.1,0.070707071,0,0.295918367,0,0,0,L
1,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.3,0.252525253,0.051020408,0.346938776,0,0,0,L
1,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.4,0.505050505,0.12244898,0.5,0,0,0,M
0,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.42,0.303030303,0.132653061,0.704081633,1,0,0,M
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.35,0.121212121,0,0.163265306,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.5,0.101010101,0.153061224,0.214285714,1,1,1,M
0,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.12,0.212121212,0.163265306,0.5,1,1,1,M
0,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,0,0.7,0.808080808,0.255102041,0.704081633,1,1,1,M
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.5,0.888888889,0.306122449,0.806122449,1,1,1,H
1,0.307692308,0.307692308,1,0.444444444,0.5,0.727272727,0,0,0.19,0.060606061,0.193877551,0.112244898,1,1,1,M
1,0.307692308,0.307692308,0.5,0.111111111,0,0.636363636,0,0,0.05,0.01010101,0,0.102040816,0,0,0,L
1,0.384615385,0.384615385,1,0.555555556,0,0.727272727,0,0,0.2,0.141414141,0.12244898,0.183673469,0,0,0,L
0,0.307692308,0.307692308,1,0.555555556,0,0.727272727,0,1,0.62,0.707070707,0.448979592,0.602040816,0,0,0,H
0,0.307692308,0.307692308,1,0.333333333,0,0.636363636,0,0,0.3,0.404040404,0.224489796,0.663265306,1,1,1,M
1,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,0,0.36,0.303030303,0.204081633,0.806122449,0,0,0,M
1,0.307692308,0.307692308,1,0.444444444,0,0.727272727,0,0,0.55,0.131313131,0.357142857,0.908163265,0,0,0,M
0,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,1,0.69,0.151515152,0.367346939,0.969387755,1,1,1,M
1,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,1,0.7,0.505050505,0.408163265,1,1,1,1,H
0,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.6,0.606060606,0.336734694,0.908163265,0,0,0,M
0,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,0,0.1,0.121212121,0.040816327,0.806122449,0,0,1,M
1,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.15,0.212121212,0.020408163,0.908163265,0,0,1,M
1,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.02,0,0.020408163,0.5,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,0,0,0.02020202,0.030612245,0.704081633,1,1,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.08,0.070707071,0.306122449,0.397959184,1,1,0,L
1,0.307692308,0.307692308,1,0.444444444,0.5,0.636363636,0,0,0.19,0.191919192,0.255102041,0.397959184,1,0,1,M
1,0.307692308,0.307692308,1,0.555555556,0,0,0,0,0.25,0.151515152,0.12244898,0.326530612,0,0,0,L
1,0.307692308,0.307692308,1,0.555555556,0,0.909090909,0,0,0.75,0.858585859,0.530612245,0.428571429,1,1,1,M
0,0.307692308,0.307692308,1,0.555555556,0,0,0,0,0.3,0.909090909,0.336734694,0.346938776,0,0,1,M
0,0.307692308,0.307692308,1,0.555555556,0,0,0,0,0.35,0.808080808,0.510204082,0.704081633,1,1,1,H
1,0.307692308,0.307692308,1,0.444444444,0,0.636363636,0,0,0.04,0.050505051,0.408163265,0.153061224,1,1,0,L
0,0.307692308,0.307692308,0.5,0.444444444,0,0.636363636,0,0,0.02,0.191919192,0.102040816,0.5,1,1,0,L
1,0.307692308,0.307692308,0.5,0.222222222,0,0.272727273,0,0,0.08,0.222222222,0.091836735,0.397959184,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0.5,0.909090909,0,0,0.12,0.111111111,0.081632653,0.397959184,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0,0.272727273,0,0,0.1,0.121212121,0.173469388,0.295918367,0,0,0,L
1,0.307692308,0.307692308,1,0.444444444,0.5,0.909090909,0,1,0.08,0.060606061,0.040816327,0.214285714,1,1,0,L
0,0,0,1,0.444444444,0,0.636363636,0,0,0.45,0.545454545,0.265306122,0.908163265,1,1,1,M
1,0.307692308,0.307692308,1,0.333333333,0,0.636363636,0,0,0,0,0,0.030612245,0,0,0,L
